0.200000	0.437500	I
0.437500	0.712500	HAD
0.712500	0.862500	IT
0.862500	1.175000	MADE
1.175000	1.437500	I
1.775000	2.550000	VERY
2.550000	2.937500	RARELY
2.937500	3.162500	BUY
3.162500	3.300000	A
3.300000	3.637500	SUIT
3.637500	3.912500	SO
3.912500	4.100000	I
4.100000	4.512500	THOUGHT
4.512500	4.825000	I'D
4.825000	5.112500	HAVE
5.112500	5.212500	IT
5.212500	5.687500	TAILORED
5.687500	6.337500	AND
6.337500	6.437500	I'M
6.437500	6.825000	QUITE
6.825000	7.237500	PLEASED
7.237500	7.425000	WITH
7.425000	7.587500	IT
