0.187500	0.412500	I
0.412500	0.762500	WOULDN'T
0.762500	0.962500	CALL
0.962500	1.050000	IT
1.050000	1.437500	SHABBY
1.437500	1.687500	BUT
1.687500	1.837500	IT
1.837500	2.175000	ISN'T
2.175000	2.562500	VERY
2.562500	3.050000	MODERN
3.050000	3.325000	I
3.325000	3.812500	ADMIT
3.825000	4.687500	HOWEVER
4.687500	5.275000	THEY'RE
5.275000	5.500000	VERY
5.500000	6.112500	OBLIGING
6.112500	6.625000	AND
6.775000	7.437500	TAKE
7.437500	7.525000	A
7.525000	7.787500	GREAT
7.787500	8.037500	DEAL
8.037500	8.162500	OF
8.162500	8.562500	TROUBLE
