0.362500	0.937500	YES
0.950000	1.587500	DO
1.587500	2.275000	MENTION
2.275000	2.425000	MY
2.425000	2.687500	NAME
2.687500	2.825000	IF
2.825000	2.975000	YOU
2.975000	3.225000	LIKE
3.225000	3.550000	IT
3.550000	3.787500	WON'T
3.787500	3.887500	DO
3.887500	4.087500	ANY
4.087500	4.350000	HARM
4.350000	4.662500	AND
4.662500	4.787500	IT
4.787500	5.075000	MIGHT
5.075000	5.187500	DO
5.187500	5.525000	SOME
5.525000	5.762500	GOOD
5.762500	6.562500	I'VE
6.562500	6.762500	JUST
6.762500	7.050000	PAID
7.050000	7.337500	MY
7.337500	7.612500	BILL
