0.625000	1.237500	SO
1.237500	1.362500	I
1.362500	1.587500	CAN
1.587500	1.850000	SEE
1.850000	2.075000	I
2.075000	2.612500	THINK
2.612500	2.875000	I'LL
2.875000	3.150000	GO
3.150000	3.712500	ALONG
3.712500	3.987500	THERE
3.987500	4.412500	I
4.412500	4.800000	NEED
4.800000	4.887500	A
4.887500	5.100000	NEW
5.100000	5.450000	SUIT
5.500000	6.100000	OH
6.200000	6.775000	BY
6.775000	6.962500	THE
6.962500	7.162500	WAY
7.200000	7.837500	WHAT
7.837500	8.037500	SORT
8.037500	8.175000	OF
8.175000	8.625000	PRICES
8.625000	8.712500	DO
8.712500	8.937500	THEY
8.937500	9.312500	CHARGE
