0.500000	1.487500	NINETEEN
1.487500	2.000000	YEARS
2.000000	2.400000	IS
2.400000	2.950000	CERTAINLY
2.950000	3.037500	A
3.037500	3.412500	LONG
3.412500	3.862500	TIME
3.862500	4.937500	AND
4.937500	5.362500	EVEN
5.362500	5.562500	IF
5.562500	5.737500	YOU
5.737500	6.125000	DON'T
6.125000	6.412500	WEAR
6.412500	6.587500	THEM
6.587500	6.925000	MUCH
6.925000	7.275000	YOUR
7.275000	7.762500	OLD
7.762500	8.050000	ONE
8.050000	8.450000	MUST
8.450000	8.687500	HAVE
8.687500	9.137500	LASTED
9.137500	9.437500	WELL
